,UserId,Condition,VP,Session,PQ,ATT,HQI,HQS,HQ,PQ.levels,PQ.2levels,PQ.2levels.split.at.4,PQ.2BalancedClasses,HQ.levels,HQ.2levels,HQ.2levels.split.at.4,HQ.2BalancedClasses,ATT.levels,ATT.2levels,IconSize,Position,Handedness,HandUsed,DominantHand,,sessionNr
34,192,7,613,5,6.5,5.5,6,5,5.5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,29
30,192,3,613,6,6,5,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,30
35,192,8,613,7,3.5,4.5,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Left,non-dominant,,31
33,192,6,613,8,5.75,5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Hand,RIGHT,Right,dominant,,32
29,192,2,613,9,5.25,4.5,5.5,4.5,5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,33
26,192,10,613,10,4.5,5,5,4,4.5,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,RIGHT,Left,non-dominant,,34
36,192,9,613,11,6.5,6,5.5,5,5.25,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,35
27,192,11,613,12,6.25,6,6,5,5.5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,36
38,193,10,614,1,3.25,3,4,4.5,4.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,37
41,193,2,614,2,5,4.5,4,4,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,38
47,193,8,614,3,3,3.5,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,39
43,193,4,614,4,5,4.5,4,4,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Stand,RIGHT,Right,dominant,,40
46,193,7,614,5,5,4.5,4,4.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,41
44,193,5,614,6,4.75,4.5,4,4.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,42
40,193,12,614,7,3,3.5,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,43
42,193,3,614,8,5,4.5,5,4,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,44
45,193,6,614,9,3,2.5,3.5,4,3.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,45
48,193,9,614,10,3.75,4,4,4.5,4.25,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,46
37,193,1,614,11,6,6,4,4,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,47
39,193,11,614,12,3.5,3.5,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Left,non-dominant,,48
60,194,9,615,1,5.25,5,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,49
59,194,8,615,2,2,2,3,3,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,50
56,194,5,615,3,4.5,4.5,4.5,4,4.25,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,51
51,194,11,615,4,5,4.5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,52
55,194,4,615,5,1.75,2,2.5,3.5,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,53
53,194,2,615,6,1.5,2,2.5,3.5,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,54
49,194,1,615,7,5.25,5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,55
57,194,6,615,8,1.75,1.5,2.5,3.5,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,56
58,194,7,615,9,5,4,4,4,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,57
52,194,12,615,10,1.5,2.5,3,2.5,2.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,58
54,194,3,615,11,5,4,3,3.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,59
50,194,10,615,12,2,3,3,3.5,3.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,60
63,195,11,616,1,5,5.5,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,61
67,195,4,616,2,2.5,4,4,5,4.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,TinyIcons,Stand,RIGHT,Right,dominant,,62
68,195,5,616,3,5.75,6,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,63
66,195,3,616,4,5.5,5,4,4.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,64
69,195,6,616,5,3,2.5,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,65
65,195,2,616,6,2.5,2,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,66
72,195,9,616,7,5.25,6,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,67
64,195,12,616,8,3.5,4,4,4.5,4.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Left,non-dominant,,68
61,195,1,616,9,5.25,6,4.5,5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,69
71,195,8,616,10,3,3,4,4.5,4.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,70
62,195,10,616,11,3.25,3,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,71
70,195,7,616,12,5.25,6,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,72
80,196,5,617,1,6.25,4.5,2,1,1.5,high,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,73
79,196,4,617,2,2.75,3.5,3,2.5,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,74
76,196,12,617,3,3,3.5,3.5,3.5,3.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,75
84,196,9,617,4,5,5,3,3.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,76
82,196,7,617,5,5,5,3,2.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,77
78,196,3,617,6,6,4.5,3,3,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,78
74,196,10,617,7,2.5,3,4,4,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,79
81,196,6,617,8,4.5,4.5,3.5,4,3.75,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Right,dominant,,80
77,196,2,617,9,4,4,3,4,3.5,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,81
83,196,8,617,10,3,4,3.5,4.5,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Left,non-dominant,,82
73,196,1,617,11,6,5,3,3.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,83
75,196,11,617,12,5,4,3,3,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,84
86,197,10,618,1,3,2.5,2,3.5,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Left,dominant,,85
90,197,3,618,2,5.75,4.5,4,3.5,3.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,LEFT,Right,non-dominant,,86
95,197,8,618,3,3.25,3,3,3,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,LEFT,Left,dominant,,87
89,197,2,618,4,3.25,3,3,3,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,LEFT,Right,non-dominant,,88
96,197,9,618,5,5.5,3.5,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Stand,LEFT,Left,dominant,,89
88,197,12,618,6,3.75,3,3.5,3,3.25,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Left,dominant,,90
94,197,7,618,7,5.5,4.5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Table,LEFT,Left,dominant,,91
85,197,1,618,8,5,4,3.5,3,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,LEFT,Right,non-dominant,,92
87,197,11,618,9,5,4,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,LEFT,Left,dominant,,93
91,197,4,618,10,3.5,3.5,3,3,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Right,non-dominant,,94
93,197,6,618,11,2.25,2.5,4,3.5,3.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,95
92,197,5,618,12,5.25,4,3,3,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,LEFT,Right,non-dominant,,96
105,198,6,619,1,2.5,3,3,3,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,97
104,198,5,619,2,6,5,5.5,3.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Right,non-dominant,,98
108,198,9,619,3,6.25,5,5,3,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Left,dominant,,99
100,198,12,619,4,2.5,1.5,2,2,2,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,LEFT,Left,dominant,,100
98,198,10,619,5,2.25,1,2,2,2,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,LEFT,Left,dominant,,101
102,198,3,619,6,5.5,5,5,3,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Right,non-dominant,,102
101,198,2,619,7,2.75,1,2,1.5,1.75,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Right,non-dominant,,103
99,198,11,619,8,2.5,1,1.5,1.5,1.5,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,LEFT,Left,dominant,,104
106,198,7,619,9,6.75,5,5,3,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Left,dominant,,105
97,198,1,619,10,6.5,4.5,4,2,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,LEFT,Right,non-dominant,,106
103,198,4,619,11,2.5,1,1,1,1,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,LEFT,Right,non-dominant,,107
107,198,8,619,12,2.75,2,2,1.5,1.75,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Left,dominant,,108
112,199,12,620,1,5,3.5,2.5,2,2.25,high,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,109
118,199,7,620,2,5.5,4.5,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,110
110,199,10,620,3,2.75,1.5,2,1.5,1.75,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,111
111,199,11,620,4,4.5,3.5,3,2,2.5,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Left,non-dominant,,112
114,199,3,620,5,5.25,4,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,113
115,199,4,620,6,3,2,2.5,2,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,114
109,199,1,620,7,5.25,5,4.5,3,3.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,115
117,199,6,620,8,4.5,4,3.5,2,2.75,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Right,dominant,,116
119,199,8,620,9,4,3,3,2,2.5,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,117
116,199,5,620,10,5.5,5,4,3,3.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,118
120,199,9,620,11,4.5,4,3.5,2,2.75,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,119
113,199,2,620,12,4.5,3.5,3,2,2.5,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,120
124,200,12,621,1,3,2.5,3.5,3,3.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,121
129,200,6,621,2,1.5,1.5,2.5,2.5,2.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,122
128,200,5,621,3,6.5,5.5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,123
125,200,2,621,4,2.5,2.5,2.5,3,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,124
130,200,7,621,5,6.75,6,5,4,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,125
127,200,4,621,6,1.75,2.5,2,3,2.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,126
